Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
684,Yan Souto,br BRA,DF,Goiás,20,2001,8,7,611,6.8,1,0,1,0,0,3,0,0.15,0.00,0.15,0.15,0.15,0.2,0.2,0.0,0.2,0.02,0.00,0.02,0.02,0.02,Matches,2dffc479
685,Hugo Souza,br BRA,GK,Flamengo,23,1999,15,14,1286,14.3,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,c02e5af1
686,Igor Vinícius de Souza,br BRA,DFFW,São Paulo,24,1997,23,11,1162,12.9,1,2,1,0,0,2,0,0.08,0.15,0.23,0.08,0.23,0.8,0.8,3.1,3.9,0.06,0.24,0.30,0.06,0.30,Matches,ec95088d
687,Bruno Tabata,br BRA,FW,Palmeiras,24,1997,13,4,469,5.2,0,1,0,0,0,0,0,0.00,0.19,0.19,0.00,0.19,,,,,,,,,,Matches,33fdf90d
688,Tadeu,br BRA,GK,Goiás,29,1992,38,38,3420,38.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.00,0.00,0.00,0.00,0.00,Matches,8445554f
689,Tailson,br BRA,FWDF,Santos,22,1999,3,0,35,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,200b381d
690,Taison,br BRA,MFFW,Internacional,34,1988,20,5,726,8.1,1,1,1,0,0,6,0,0.12,0.12,0.25,0.12,0.25,1.9,1.9,1.8,3.8,0.24,0.23,0.47,0.24,0.47,Matches,7272a72a
691,Tchê Tchê,br BRA,MF,Botafogo (RJ),29,1992,29,28,2314,25.7,1,0,1,0,0,3,0,0.04,0.00,0.04,0.04,0.04,1.4,1.4,0.6,2.0,0.05,0.02,0.08,0.05,0.08,Matches,5f2caf8f
692,David Terans,uy URU,MF,Atl Paranaense,27,1994,31,26,2009,22.3,12,4,6,6,7,3,0,0.54,0.18,0.72,0.27,0.45,9.8,4.3,4.4,8.7,0.44,0.20,0.63,0.19,0.39,Matches,d3d89d8d
693,Miguel Terceros,bo BOL,FW,Santos,17,2004,2,0,24,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.37,0.10,0.47,0.37,0.47,Matches,d66ed604
694,Thiago,br BRA,GK,São Paulo,22,1999,3,2,242,2.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.02,0.02,0.00,0.02,Matches,602d20ae
695,Guilherme Tinga,br BRA,DF,Fortaleza,28,1993,17,14,1175,13.1,0,2,0,0,0,3,0,0.00,0.15,0.15,0.00,0.15,0.7,0.7,1.0,1.6,0.05,0.07,0.13,0.05,0.13,Matches,a8331ab0
696,Titi,br BRA,DF,Fortaleza,33,1988,34,32,2796,31.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.6,0.02,0.00,0.02,0.02,0.02,Matches,ea41ddf7
