,Player,Nation,Position,Club,Age,Born,Match Played,Starts,Minutes Played,90s,Goals,Assist,G-PK,Penalty Kicks,PKatt,Yellow Card,Red Card,Goals/90,Assist/90,G+A/90,G-PK/90,G+A-PK,xG,npxG,xA,xAG,Assist-xAG,npxG+xAG,xG/90,xA/90,xAG/90,xG+xAG,npxG/90,npxG+xAG/90,Shots Total,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK(Shot),npxG/Sh,G-xG,np:G-xG,Passes Completed,Passes Attempted,Pass Completion%,TotDist,PrgDist,Passes Completed(Short),Passes Attempted(Short),Passes Completion%(Short),Passes Completed(Medium),Passes Attempted(Medium),Passes Completion%(Medium),Passes Completed(Long),Passes Attempted(Long),Passes Completion%(Long),Key Passes,Completed Passes to Attacking Third,Completed Passes to Penalty Area,Completed Crosses to Penalty Are,Progressive Pass Completed,Live Ball Passes,Dead Ball Passes,Passes from Free Kick,TB,Passes 40yds+,Crosses,Throw-ins Taken,Corner Kick,Inswinging Corner Kick,Outswinging Corner Kick,Straight Corner Kick,Passes leading to Offside,Passes Blocked,Shots Creating Action,SCA/90,PassLive(SCA),PassDead(SCA),Dribble(SCA),Shot(SCA),Fouls Drawn(SCA),Defensive Action(SCA),Goals Creating Action,GCA/90,PassLive(GCA),PassDead(GCA),Dribble(GCA),Shot(GCA),Fouls Drawn(GCA),Defensive Action(GCA),Touches,Touches in Defensive Penalty Area,Touches in Defensive 3rd,Touches in Middle 3rd,Touches in Attacking 3rd,Touches in Attacking Penalty Area,Live Ball Touches,Dribble Success,Dribble Attempted,Dribble Success%,Mis,Ball Lost (Tackled),Passes Received,Progressive Pass Received,Tackles Attempted,Tackles Won,Tackles in Defensive 3rd,Tackles in Middle 3rd,Tackles in Attacking 3rd,Tackle Won (vsDribble),Tackle Attempted (vsDribble),Tackle% (vsDribble),Dribbled Past (vsDribble),Blocks,Shots Blocked,Pass Blocked,Interception,Tackle + Interception,Clearance,Error Leads to Shot
574,Rafael Ramos,pt POR,DF,Corinthians,27,1995,20,15,1304,14.5,0,1,0,0,0,3,0,0.0,0.07,0.07,0.0,0.07,0.2,0.2,1.1,1.3,-0.3,1.5,0.02,0.07586206896551725,0.09,0.1,0.02,0.1,6,1,16.7,0.41,0.07,0.0,0.0,22.8,0.0,0.04,-0.2,-0.2,667.0,873.0,76.4,10919.0,4255.0,339.0,381.0,89.0,258.0,327.0,78.9,54.0,113.0,47.8,11.0,50.0,13.0,4.0,36.0,721.0,152.0,12.0,0.0,0.0,36,138.0,2.0,0.0,1.0,0.0,0.0,24.0,26.0,1.8,21.0,2.0,0.0,0.0,1.0,2.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,987.0,39.0,314.0,456.0,231.0,11.0,987.0,17.0,28.0,60.7,7.0,4.0,604.0,24.0,35.0,23,25.0,9.0,1.0,18.0,32.0,56.3,14.0,15.0,2.0,13.0,19,54.0,31.0,0.0
575,Raniele,br BRA,MFDF,Avaí,25,1996,33,33,2817,31.3,2,0,2,0,0,9,0,0.06,0.0,0.06,0.06,0.06,1.4,1.4,1.3,0.9,-0.9,2.2,0.04,0.04153354632587859,0.03,0.07,0.04,0.07,31,10,32.3,0.99,0.32,0.06,0.2,23.8,0.0,0.04,0.6,0.6,1194.0,1543.0,77.4,24028.0,8209.0,369.0,449.0,82.2,648.0,744.0,87.1,157.0,266.0,59.0,13.0,100.0,13.0,1.0,91.0,1456.0,79.0,76.0,3.0,12.0,13,3.0,0.0,0.0,0.0,0.0,8.0,39.0,62.0,1.98,34.0,0.0,7.0,3.0,14.0,4.0,7.0,0.22,3.0,0.0,1.0,0.0,3.0,0.0,1958.0,200.0,689.0,1097.0,196.0,31.0,1958.0,38.0,64.0,59.4,40.0,23.0,1258.0,30.0,61.0,33,29.0,26.0,6.0,30.0,63.0,47.6,33.0,56.0,25.0,31.0,39,100.0,106.0,1.0
576,Wellington Rato,br BRA,FWMF,Atl Goianiense,29,1992,36,33,2782,30.9,8,3,8,0,0,3,0,0.26,0.1,0.36,0.26,0.36,7.4,7.4,4.0,3.9,-0.9,11.3,0.24,0.12944983818770228,0.13,0.37,0.24,0.37,96,28,29.2,3.11,0.91,0.08,0.29,21.3,7.0,0.08,0.6,0.6,903.0,1209.0,74.7,17106.0,3916.0,408.0,479.0,85.2,338.0,429.0,78.8,135.0,228.0,59.2,51.0,96.0,34.0,10.0,88.0,1098.0,108.0,30.0,3.0,33.0,115,18.0,48.0,23.0,13.0,0.0,3.0,30.0,115.0,3.72,74.0,18.0,9.0,8.0,4.0,2.0,8.0,0.26,6.0,0.0,0.0,2.0,0.0,0.0,1513.0,35.0,207.0,683.0,639.0,81.0,1513.0,36.0,60.0,60.0,51.0,34.0,1079.0,157.0,29.0,22,16.0,10.0,3.0,15.0,46.0,32.6,31.0,18.0,3.0,15.0,10,39.0,24.0,0.0
577,Raul,br BRA,MF,Bragantino,25,1996,32,30,2471,27.5,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.8,1.6,-1.6,2.0,0.01,0.06545454545454546,0.06,0.07,0.01,0.07,14,1,7.1,0.51,0.04,0.0,0.0,30.8,0.0,0.03,-0.4,-0.4,1323.0,1557.0,85.0,26080.0,8161.0,487.0,549.0,88.7,626.0,676.0,92.6,182.0,272.0,66.9,14.0,170.0,17.0,2.0,125.0,1476.0,81.0,70.0,2.0,29.0,9,11.0,0.0,0.0,0.0,0.0,0.0,17.0,50.0,1.82,41.0,0.0,1.0,0.0,4.0,4.0,4.0,0.15,3.0,0.0,0.0,0.0,1.0,0.0,1845.0,90.0,543.0,1147.0,173.0,2.0,1845.0,15.0,28.0,53.6,28.0,19.0,1235.0,16.0,72.0,42,36.0,34.0,2.0,43.0,75.0,57.3,32.0,34.0,11.0,23.0,48,120.0,41.0,0.0
578,Pedro Raul,br BRA,FW,Goiás,25,1996,34,33,2745,30.5,19,2,16,3,3,8,0,0.62,0.07,0.69,0.52,0.59,12.3,10.2,1.4,1.8,0.2,12.1,0.4,0.04590163934426229,0.06,0.46,0.34,0.4,89,39,43.8,2.92,1.28,0.18,0.41,14.1,0.0,0.12,6.7,5.8,303.0,474.0,63.9,4051.0,879.0,190.0,260.0,73.1,81.0,130.0,62.3,13.0,22.0,59.1,25.0,29.0,8.0,0.0,25.0,444.0,26.0,0.0,1.0,1.0,7,1.0,0.0,0.0,0.0,0.0,4.0,14.0,54.0,1.77,36.0,0.0,5.0,7.0,6.0,0.0,4.0,0.13,2.0,0.0,1.0,0.0,1.0,0.0,826.0,47.0,76.0,332.0,431.0,157.0,823.0,21.0,42.0,50.0,91.0,37.0,606.0,135.0,13.0,9,2.0,8.0,3.0,5.0,18.0,27.8,13.0,19.0,4.0,15.0,4,17.0,41.0,0.0
581,Reinaldo,br BRA,DFFW,São Paulo,32,1989,28,18,1463,16.3,3,5,2,1,1,3,0,0.18,0.31,0.49,0.12,0.43,1.7,0.9,4.5,3.2,1.8,4.1,0.1,0.2760736196319018,0.2,0.3,0.05,0.25,22,4,18.2,1.35,0.25,0.09,0.5,22.0,1.0,0.04,1.3,1.1,607.0,897.0,67.7,12309.0,4977.0,243.0,281.0,86.5,252.0,337.0,74.8,106.0,230.0,46.1,40.0,71.0,34.0,17.0,96.0,636.0,257.0,26.0,2.0,18.0,138,169.0,62.0,8.0,53.0,0.0,4.0,24.0,81.0,4.98,51.0,21.0,6.0,2.0,1.0,0.0,8.0,0.49,5.0,3.0,0.0,0.0,0.0,0.0,1027.0,31.0,172.0,438.0,432.0,23.0,1026.0,17.0,34.0,50.0,25.0,17.0,568.0,47.0,16.0,12,7.0,7.0,2.0,7.0,15.0,46.7,8.0,15.0,2.0,13.0,10,26.0,22.0,0.0
582,César Reis,br BRA,GK,Juventude,26,1995,25,24,2188,24.3,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,0.0,,0.0,0.0,518.0,715.0,72.4,14081.0,9430.0,92.0,93.0,98.9,271.0,276.0,98.2,147.0,335.0,43.9,0.0,7.0,0.0,0.0,0.0,437.0,276.0,46.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,0.25,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,766.0,649.0,763.0,4.0,0.0,0.0,766.0,0.0,0.0,,1.0,1.0,270.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,11.0,1.0
585,Renato,br BRA,DFMF,Avaí,32,1990,16,10,1014,11.3,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.8,1.7,-1.7,2.9,0.1,0.07079646017699115,0.15,0.25,0.1,0.25,17,5,29.4,1.51,0.44,0.0,0.0,27.2,0.0,0.07,-1.1,-1.1,351.0,467.0,75.2,5484.0,2076.0,199.0,219.0,90.9,118.0,143.0,82.5,26.0,75.0,34.7,18.0,19.0,7.0,5.0,21.0,392.0,75.0,13.0,0.0,2.0,63,39.0,22.0,10.0,12.0,0.0,0.0,12.0,28.0,2.48,13.0,11.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573.0,24.0,130.0,252.0,196.0,10.0,573.0,8.0,17.0,47.1,20.0,10.0,371.0,33.0,14.0,9,6.0,7.0,1.0,9.0,12.0,75.0,3.0,13.0,2.0,11.0,8,22.0,24.0,0.0
586,Renê,br BRA,DF,Internacional,29,1992,28,27,2475,27.5,0,1,0,0,0,0,0,0.0,0.04,0.04,0.0,0.04,0.1,0.1,2.2,1.5,-0.5,1.6,0.0,0.08,0.06,0.06,0.0,0.06,4,1,25.0,0.15,0.04,0.0,0.0,20.7,0.0,0.03,-0.1,-0.1,1481.0,1795.0,82.5,25570.0,11499.0,681.0,764.0,89.1,617.0,726.0,85.0,154.0,223.0,69.1,19.0,172.0,24.0,6.0,121.0,1546.0,248.0,51.0,3.0,11.0,39,193.0,4.0,0.0,3.0,0.0,1.0,38.0,54.0,1.96,42.0,8.0,0.0,1.0,2.0,1.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,2066.0,101.0,645.0,1059.0,388.0,12.0,2066.0,17.0,32.0,53.1,26.0,16.0,1257.0,28.0,80.0,49,44.0,30.0,6.0,43.0,69.0,62.3,26.0,27.0,8.0,19.0,52,132.0,75.0,1.0
589,Everton Ribeiro,br BRA,MFFW,Flamengo,32,1989,30,19,1787,19.9,2,4,2,0,0,0,0,0.1,0.2,0.3,0.1,0.3,2.7,2.7,4.2,4.9,-0.9,7.6,0.13,0.21105527638190957,0.25,0.38,0.13,0.38,24,13,54.2,1.21,0.65,0.08,0.15,17.8,1.0,0.11,-0.7,-0.7,939.0,1152.0,81.5,14639.0,4492.0,504.0,586.0,86.0,345.0,401.0,86.0,61.0,104.0,58.7,40.0,105.0,52.0,11.0,112.0,1086.0,59.0,24.0,8.0,5.0,63,12.0,23.0,15.0,3.0,0.0,7.0,11.0,91.0,4.58,71.0,7.0,2.0,0.0,9.0,2.0,8.0,0.4,8.0,0.0,0.0,0.0,0.0,0.0,1384.0,19.0,146.0,645.0,611.0,49.0,1384.0,42.0,59.0,71.2,51.0,34.0,1041.0,116.0,44.0,20,18.0,16.0,10.0,13.0,44.0,29.5,31.0,22.0,2.0,20.0,19,63.0,6.0,1.0
594,João Ricardo Riedi,br BRA,GK,Ceará,33,1988,35,35,3150,35.0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,0.0,,0.0,0.0,738.0,1048.0,70.4,23073.0,17469.0,94.0,95.0,98.9,311.0,320.0,97.2,326.0,619.0,52.7,2.0,15.0,0.0,0.0,1.0,640.0,402.0,93.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,10.0,0.29,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1123.0,909.0,1121.0,2.0,0.0,0.0,1123.0,0.0,0.0,,1.0,0.0,397.0,0.0,1.0,1,1.0,0.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,0.0,0,1.0,17.0,3.0
598,Richard,br BRA,MF,Ceará,27,1994,30,30,2371,26.3,0,1,0,0,0,12,1,0.0,0.04,0.04,0.0,0.04,1.5,1.5,1.0,0.9,0.1,2.3,0.06,0.03802281368821293,0.03,0.09,0.06,0.09,26,8,30.8,0.99,0.3,0.0,0.0,19.8,0.0,0.06,-1.5,-1.5,1142.0,1332.0,85.7,20058.0,5036.0,523.0,596.0,87.8,445.0,497.0,89.5,133.0,158.0,84.2,12.0,96.0,12.0,1.0,83.0,1271.0,58.0,51.0,2.0,21.0,9,7.0,0.0,0.0,0.0,0.0,3.0,17.0,45.0,1.71,38.0,1.0,1.0,2.0,1.0,2.0,3.0,0.11,2.0,0.0,0.0,1.0,0.0,0.0,1659.0,101.0,393.0,1003.0,276.0,35.0,1659.0,18.0,32.0,56.3,33.0,25.0,1070.0,50.0,66.0,38,25.0,32.0,9.0,32.0,72.0,44.4,40.0,47.0,19.0,28.0,34,100.0,68.0,2.0
599,Richardson,br BRA,MF,Ceará,30,1991,31,27,2072,23.0,0,0,0,0,0,14,1,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.5,0.5,-0.5,0.7,0.01,0.021739130434782608,0.02,0.03,0.01,0.03,11,0,0.0,0.48,0.0,0.0,,29.4,0.0,0.02,-0.2,-0.2,811.0,960.0,84.5,15497.0,4449.0,315.0,351.0,89.7,366.0,406.0,90.1,110.0,150.0,73.3,13.0,91.0,7.0,0.0,82.0,903.0,55.0,53.0,0.0,14.0,9,1.0,0.0,0.0,0.0,0.0,2.0,14.0,34.0,1.48,27.0,1.0,1.0,0.0,3.0,2.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,1140.0,37.0,236.0,740.0,185.0,3.0,1140.0,15.0,26.0,57.7,21.0,9.0,733.0,26.0,62.0,31,27.0,26.0,9.0,32.0,68.0,47.1,36.0,20.0,4.0,16.0,20,82.0,20.0,2.0
607,Robson,br BRA,FWMF,Fortaleza,30,1991,29,16,1448,16.1,4,4,4,0,1,6,0,0.25,0.25,0.5,0.25,0.5,5.7,4.9,0.9,2.7,1.3,7.6,0.35,0.05590062111801242,0.17,0.52,0.3,0.47,44,14,31.8,2.73,0.87,0.09,0.29,20.7,2.0,0.11,-1.7,-0.9,221.0,347.0,63.7,3487.0,935.0,136.0,183.0,74.3,50.0,81.0,61.7,27.0,44.0,61.4,23.0,26.0,14.0,2.0,30.0,324.0,22.0,3.0,2.0,3.0,20,3.0,0.0,0.0,0.0,0.0,1.0,13.0,49.0,3.05,29.0,1.0,5.0,6.0,8.0,0.0,5.0,0.31,3.0,0.0,1.0,1.0,0.0,0.0,564.0,21.0,55.0,240.0,278.0,58.0,563.0,17.0,45.0,37.8,54.0,18.0,395.0,102.0,14.0,12,5.0,6.0,3.0,4.0,20.0,20.0,16.0,15.0,4.0,11.0,6,20.0,19.0,0.0
610,Marcos Rocha,br BRA,DF,Palmeiras,33,1988,28,28,2246,25.0,0,4,0,0,0,4,0,0.0,0.16,0.16,0.0,0.16,0.0,0.0,2.4,2.4,1.6,2.5,0.0,0.096,0.1,0.1,0.0,0.1,2,0,0.0,0.08,0.0,0.0,,23.6,0.0,0.02,0.0,0.0,1645.0,2045.0,80.4,34464.0,14563.0,552.0,607.0,90.9,739.0,866.0,85.3,321.0,481.0,66.7,36.0,259.0,42.0,5.0,195.0,1732.0,303.0,78.0,4.0,36.0,40,217.0,2.0,0.0,0.0,0.0,10.0,29.0,82.0,3.29,72.0,4.0,2.0,0.0,2.0,2.0,7.0,0.28,6.0,0.0,0.0,0.0,1.0,0.0,2248.0,109.0,621.0,1252.0,400.0,28.0,2248.0,16.0,29.0,55.2,13.0,8.0,1467.0,43.0,87.0,54,36.0,43.0,8.0,37.0,70.0,52.9,33.0,28.0,8.0,20.0,31,118.0,42.0,0.0
619,Romarinho,br BRA,FWMF,Fortaleza,27,1994,26,17,1310,14.6,3,4,3,0,0,4,1,0.21,0.27,0.48,0.21,0.48,2.0,2.0,1.1,1.4,2.6,3.4,0.14,0.07534246575342467,0.09,0.23,0.14,0.23,35,7,20.0,2.4,0.48,0.09,0.43,20.9,0.0,0.06,1.0,1.0,359.0,464.0,77.4,5516.0,1143.0,207.0,243.0,85.2,122.0,154.0,79.2,21.0,33.0,63.6,21.0,31.0,12.0,4.0,21.0,444.0,19.0,1.0,2.0,3.0,40,5.0,12.0,4.0,6.0,0.0,1.0,14.0,47.0,3.23,32.0,1.0,6.0,3.0,5.0,0.0,3.0,0.21,3.0,0.0,0.0,0.0,0.0,0.0,638.0,6.0,50.0,281.0,320.0,41.0,638.0,41.0,72.0,56.9,32.0,25.0,473.0,79.0,13.0,11,3.0,7.0,3.0,7.0,21.0,33.3,14.0,5.0,0.0,5.0,4,17.0,7.0,0.0
621,Silvio Romero,ar ARG,FW,Fortaleza,33,1988,30,13,1158,12.9,2,3,2,0,1,1,0,0.16,0.23,0.39,0.16,0.39,4.6,3.8,1.8,3.2,-0.2,7.0,0.36,0.13953488372093023,0.25,0.61,0.29,0.55,31,10,32.3,2.41,0.78,0.06,0.2,14.6,1.0,0.12,-2.6,-1.8,162.0,222.0,73.0,2191.0,512.0,107.0,129.0,82.9,43.0,58.0,74.1,5.0,9.0,55.6,17.0,9.0,15.0,0.0,23.0,193.0,26.0,1.0,2.0,0.0,6,4.0,0.0,0.0,0.0,0.0,3.0,11.0,23.0,1.78,15.0,0.0,2.0,3.0,3.0,0.0,2.0,0.16,2.0,0.0,0.0,0.0,0.0,0.0,330.0,15.0,34.0,123.0,177.0,55.0,329.0,5.0,14.0,35.7,30.0,21.0,236.0,50.0,2.0,2,1.0,0.0,1.0,0.0,6.0,0.0,6.0,4.0,0.0,4.0,2,4.0,11.0,0.0
622,Rômulo,br BRA,FW,Atl Paranaense,19,2002,26,10,1194,13.3,1,1,1,0,0,1,0,0.08,0.08,0.15,0.08,0.15,1.8,1.8,0.7,0.8,0.2,2.6,0.14,0.05263157894736842,0.06,0.2,0.14,0.2,22,7,31.8,1.66,0.53,0.05,0.14,16.8,1.0,0.08,-0.8,-0.8,191.0,284.0,67.3,2820.0,753.0,115.0,148.0,77.7,57.0,78.0,73.1,9.0,18.0,50.0,8.0,10.0,5.0,0.0,15.0,273.0,8.0,0.0,1.0,1.0,5,1.0,0.0,0.0,0.0,0.0,3.0,14.0,27.0,2.04,15.0,0.0,1.0,6.0,1.0,4.0,3.0,0.23,1.0,0.0,0.0,1.0,0.0,1.0,450.0,24.0,88.0,160.0,213.0,37.0,450.0,15.0,31.0,48.4,32.0,9.0,271.0,54.0,25.0,13,12.0,10.0,3.0,12.0,30.0,40.0,18.0,17.0,2.0,15.0,4,29.0,22.0,0.0
625,Ronald,br BRA,MFFW,Fortaleza,24,1997,20,13,1049,11.7,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.7,-0.7,1.0,0.03,0.042735042735042736,0.06,0.08,0.03,0.08,9,1,11.1,0.77,0.09,0.0,0.0,23.0,0.0,0.03,-0.3,-0.3,332.0,408.0,81.4,5564.0,1631.0,153.0,172.0,89.0,143.0,165.0,86.7,26.0,35.0,74.3,11.0,48.0,3.0,0.0,34.0,394.0,11.0,4.0,0.0,1.0,10,5.0,2.0,1.0,0.0,0.0,3.0,14.0,24.0,2.06,21.0,2.0,1.0,0.0,0.0,0.0,1.0,0.09,1.0,0.0,0.0,0.0,0.0,0.0,524.0,8.0,82.0,322.0,131.0,12.0,524.0,20.0,39.0,51.3,23.0,21.0,332.0,23.0,25.0,16,12.0,11.0,2.0,13.0,27.0,48.1,14.0,7.0,0.0,7.0,8,33.0,4.0,0.0
626,Ronaldo,br BRA,GK,Atl Goianiense,25,1996,18,18,1620,18.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,0.0,,0.0,0.0,389.0,493.0,78.9,11060.0,7626.0,61.0,61.0,100.0,196.0,198.0,99.0,127.0,229.0,55.5,2.0,9.0,1.0,0.0,0.0,331.0,162.0,31.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.28,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,541.0,491.0,540.0,1.0,0.0,0.0,541.0,0.0,0.0,,0.0,0.0,212.0,0.0,3.0,0,3.0,0.0,0.0,3.0,3.0,100.0,0.0,2.0,0.0,2.0,0,3.0,8.0,0.0
628,Rony,br BRA,FW,Palmeiras,26,1995,33,29,2387,26.5,12,2,12,0,0,3,0,0.45,0.08,0.53,0.45,0.53,11.4,11.4,3.0,4.2,-2.2,15.5,0.43,0.11320754716981132,0.16,0.59,0.43,0.59,83,26,31.3,3.13,0.98,0.14,0.46,13.5,0.0,0.14,0.6,0.6,248.0,384.0,64.6,3499.0,661.0,141.0,193.0,73.1,83.0,112.0,74.1,9.0,33.0,27.3,26.0,12.0,16.0,5.0,23.0,358.0,25.0,2.0,1.0,7.0,32,7.0,0.0,0.0,0.0,0.0,1.0,15.0,61.0,2.3,39.0,0.0,4.0,6.0,12.0,0.0,8.0,0.3,3.0,0.0,1.0,2.0,2.0,0.0,671.0,20.0,51.0,209.0,419.0,143.0,671.0,12.0,35.0,34.3,65.0,16.0,468.0,153.0,18.0,8,3.0,9.0,6.0,5.0,27.0,18.5,22.0,16.0,1.0,15.0,7,25.0,20.0,0.0
629,Vitor Roque,br BRA,FW,Atl Paranaense,16,2005,29,14,1315,14.6,5,2,5,0,0,6,0,0.34,0.14,0.48,0.34,0.48,5.7,5.7,1.1,1.2,0.8,6.8,0.39,0.07534246575342467,0.08,0.47,0.39,0.47,40,17,42.5,2.74,1.16,0.13,0.29,14.8,0.0,0.14,-0.7,-0.7,99.0,143.0,69.2,1273.0,244.0,63.0,82.0,76.8,20.0,34.0,58.8,5.0,9.0,55.6,12.0,3.0,2.0,1.0,5.0,122.0,21.0,1.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,38.0,2.6,17.0,0.0,5.0,4.0,12.0,0.0,8.0,0.55,2.0,0.0,3.0,0.0,3.0,0.0,367.0,0.0,19.0,142.0,216.0,67.0,367.0,15.0,47.0,31.9,66.0,30.0,238.0,61.0,17.0,9,4.0,6.0,7.0,4.0,9.0,44.4,5.0,10.0,0.0,10.0,9,26.0,1.0,0.0
631,Rubens,br BRA,DFMF,Atlético Mineiro,20,2001,29,11,1229,13.7,1,0,1,0,0,3,0,0.07,0.0,0.07,0.07,0.07,0.9,0.9,1.1,1.0,-1.0,1.8,0.06,0.08029197080291972,0.07,0.13,0.06,0.13,21,5,23.8,1.54,0.37,0.05,0.2,22.8,0.0,0.04,0.1,0.1,424.0,566.0,74.9,6479.0,1668.0,235.0,277.0,84.8,146.0,191.0,76.4,31.0,48.0,64.6,12.0,18.0,19.0,9.0,28.0,507.0,58.0,5.0,0.0,1.0,46,52.0,1.0,0.0,0.0,0.0,1.0,23.0,37.0,2.71,24.0,1.0,5.0,2.0,1.0,4.0,2.0,0.15,1.0,0.0,0.0,1.0,0.0,0.0,777.0,26.0,177.0,322.0,287.0,33.0,777.0,25.0,37.0,67.6,31.0,15.0,446.0,52.0,63.0,31,31.0,24.0,8.0,26.0,43.0,60.5,17.0,17.0,1.0,16.0,21,84.0,28.0,0.0
634,João Victor Santos Sá,br BRA,FW,Botafogo (RJ),27,1994,26,20,1742,19.4,2,0,2,0,0,2,0,0.1,0.0,0.1,0.1,0.1,1.7,1.7,2.3,2.3,-2.3,3.9,0.08,0.11855670103092783,0.11,0.19,0.08,0.19,16,6,37.5,0.83,0.31,0.13,0.33,17.1,0.0,0.09,0.3,0.3,467.0,602.0,77.6,6984.0,1293.0,267.0,313.0,85.3,164.0,196.0,83.7,20.0,43.0,46.5,36.0,31.0,18.0,5.0,32.0,579.0,22.0,5.0,2.0,4.0,35,15.0,0.0,0.0,0.0,0.0,1.0,20.0,67.0,3.29,54.0,0.0,5.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,853.0,5.0,101.0,371.0,394.0,75.0,853.0,45.0,92.0,48.9,56.0,30.0,598.0,118.0,38.0,24,19.0,13.0,6.0,24.0,60.0,40.0,36.0,29.0,3.0,26.0,16,54.0,9.0,0.0
635,Matheus Sales,br BRA,MFDF,Goiás,26,1995,31,21,1794,19.9,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3,0.2,-0.2,1.2,0.05,0.015075376884422112,0.01,0.06,0.05,0.06,13,2,15.4,0.65,0.1,0.0,0.0,22.4,0.0,0.08,-1.0,-1.0,393.0,504.0,78.0,6224.0,1415.0,184.0,215.0,85.6,176.0,207.0,85.0,19.0,47.0,40.4,7.0,28.0,7.0,2.0,26.0,494.0,9.0,7.0,0.0,2.0,13,1.0,0.0,0.0,0.0,0.0,1.0,13.0,13.0,0.65,8.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,707.0,64.0,204.0,395.0,115.0,10.0,707.0,11.0,21.0,52.4,13.0,9.0,359.0,14.0,42.0,24,22.0,15.0,5.0,18.0,30.0,60.0,12.0,34.0,17.0,17.0,16,58.0,45.0,0.0
636,Philipe Sampaio,br BRA,DF,Botafogo (RJ),27,1994,16,14,1126,12.5,0,0,0,0,0,4,2,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.0,0.0,0.3,0.03,0.008,0.0,0.03,0.03,0.03,4,0,0.0,0.32,0.0,0.0,,11.8,0.0,0.08,-0.3,-0.3,601.0,690.0,87.1,12301.0,3701.0,171.0,189.0,90.5,354.0,381.0,92.9,71.0,107.0,66.4,0.0,23.0,0.0,0.0,23.0,675.0,15.0,15.0,0.0,7.0,1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.32,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.08,0.0,0.0,0.0,1.0,0.0,0.0,837.0,113.0,423.0,405.0,13.0,5.0,837.0,3.0,7.0,42.9,5.0,0.0,548.0,0.0,12.0,8,8.0,4.0,0.0,10.0,17.0,58.8,7.0,16.0,15.0,1.0,27,39.0,65.0,0.0
640,Santos,br BRA,GK,Flamengo,31,1990,19,19,1710,19.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,0.0,,0.0,0.0,437.0,562.0,77.8,11076.0,6974.0,78.0,78.0,100.0,243.0,245.0,99.2,114.0,236.0,48.3,1.0,2.0,0.0,0.0,0.0,404.0,157.0,21.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.16,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.05,0.0,1.0,0.0,0.0,0.0,0.0,589.0,523.0,589.0,0.0,0.0,0.0,589.0,0.0,0.0,,1.0,0.0,277.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,9.0,0.0
