Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches,-9999
528,Pedrinho,br BRA,DFFW,Atl Paranaense,19,2002,15.4,829,45,243,384,215,8,829,14,37,37.8,18,10,440,32,Matches,64aadf6b
529,Pedrinho,br BRA,MFFW,Atlético Mineiro,23,1998,2.5,172,1,19,91,62,6,172,4,13,30.8,6,3,129,7,Matches,6796e284
530,Pedrinho,br BRA,FW,Flamengo,18,2003,0.1,4,0,1,2,1,0,4,0,0,,1,0,3,1,Matches,118d25ee
531,Pedro,br BRA,FW,Flamengo,24,1997,13.0,340,14,24,118,201,89,339,10,22,45.5,37,16,244,80,Matches,1ab6fad3
532,João Pedro,br BRA,DFFW,Corinthians,25,1996,1.3,63,9,31,26,8,2,63,3,4,75.0,1,0,29,1,Matches,31d1ed52
533,João Pedro Pepê,br BRA,MF,Cuiabá,24,1998,25.8,1451,41,254,827,401,29,1451,34,52,65.4,41,32,987,61,Matches,d75471eb
534,Peglow,br BRA,FWMF,Atl Goianiense,20,2002,2.6,158,5,21,53,86,10,158,9,17,52.9,8,5,105,11,Matches,8a861bc5
535,Pegorari,br BRA,GK,Juventude,30,1991,12.7,416,365,416,0,0,0,416,0,0,,0,0,140,0,Matches,2ad9d2e3
536,Matheus Peixoto,br BRA,FW,Ceará,26,1995,5.2,150,6,10,85,57,22,150,2,3,66.7,11,5,112,23,Matches,05160796
537,Douglas Pelé,br BRA,FWDF,Goiás,22,1999,1.0,32,0,10,14,9,0,32,1,4,25.0,4,2,17,1,Matches,7c6ac38f
538,Léo Pelé,br BRA,DF,São Paulo,25,1996,27.6,1771,85,554,1106,121,14,1771,12,15,80.0,11,7,1291,8,Matches,77980eb9
539,Carlos de Pena,uy URU,MFFW,Internacional,29,1992,29.3,2011,58,282,1055,691,38,2008,12,22,54.5,32,13,1302,82,Matches,6b915aa1
540,Andreas Pereira,br BRA,MF,Flamengo,26,1996,8.8,527,10,54,263,214,11,527,5,9,55.6,11,6,368,20,Matches,6639e500
541,Egídio Pereira Júnior,br BRA,DFMF,Coritiba,35,1986,14.0,904,43,229,381,307,13,904,18,25,72.0,25,5,494,39,Matches,6c5b3d31
542,Léo Pereira,br BRA,DF,Flamengo,26,1996,12.4,997,67,335,583,87,13,997,2,3,66.7,8,0,752,3,Matches,bd247251
543,Hernán Pérez,py PAR,FW,Coritiba,32,1989,1.1,45,0,5,22,18,4,45,1,4,25.0,2,1,31,6,Matches,e1cea3f7
544,Lucas Perri,br BRA,GK,Botafogo (RJ),24,1997,3.8,126,105,125,1,0,0,126,0,0,,0,0,40,0,Matches,5dbd461a
545,Petterson,br BRA,FWMF,Flamengo,18,2004,0.3,8,0,1,4,4,0,8,0,0,,0,0,5,1,Matches,9943597e
546,Yan Phillipe,br BRA,FW,Atlético Mineiro,17,2004,0.2,18,0,1,12,5,1,18,1,2,50.0,1,0,11,2,Matches,03d01a35
547,Lucas Piazon,br BRA,FWMF,Botafogo (RJ),28,1994,8.3,398,11,47,210,146,11,398,6,20,30.0,13,6,255,33,Matches,f201798c
548,Yago Pikachu,br BRA,DFMF,Fortaleza,29,1992,13.4,618,16,103,276,248,38,616,9,17,52.9,18,13,412,67,Matches,462f1e13
549,Mario Pineida,ec ECU,DF,Fluminense,29,1992,3.7,251,11,66,118,68,6,251,4,15,26.7,4,5,164,10,Matches,2990a468
550,Joaquín Piquerez,uy URU,DF,Palmeiras,23,1998,24.7,1547,70,477,707,383,25,1547,18,45,40.0,25,10,915,62,Matches,46009f44
551,Gabriel Pirani,br BRA,FWMF,Santos,19,2002,0.5,24,0,4,3,17,2,24,0,0,,2,1,19,8,Matches,17205abf
552,Gabriel Pirani,br BRA,MFFW,Cuiabá,19,2002,4.9,174,1,18,60,100,15,174,4,9,44.4,8,10,118,27,Matches,17205abf
553,Felipe Pires,br BRA,MFFW,Juventude,26,1995,7.4,285,1,33,128,128,15,285,5,16,31.3,6,8,224,37,Matches,2cd3d3ce
554,Rafael Pires,br BRA,GK,Atlético Mineiro,32,1989,1.0,20,18,20,0,0,0,20,0,0,,0,0,9,0,Matches,539f6761
